line,tail_family,group_family,rank,n,total_E,coverage_mean,coverage_median,coverage_p10,coverage_p25,coverage_p75,coverage_p90,coverage_min,coverage_max,tail_mean,tail_median,tail_p90,weighted_coverage,weighted_tail,max_weighted_tail,energy_coverage_mean,energy_coverage_median,energy_coverage_p10,energy_coverage_p90,energy_coverage_min,energy_coverage_max,energy_weighted_coverage,energy_weighted_tail,coverage_gap_e_minus_c_mean,coverage_gap_e_minus_c_weighted
55,w1,mlp_in,16,32,2.3063763658828726,0.014831728040007874,0.01417575590312481,0.010474704764783382,0.011150513775646687,0.0171919004060328,0.019700474478304388,0.009453645907342434,0.027433745563030243,0.9851682719599921,0.9858242440968752,0.9895252952352167,0.013981075993430233,0.9860189240065698,0.13611182369998132,0.01056196793797426,0.010106679517775774,0.009560661297291518,0.012199231795966626,0.009299201890826225,0.013576303608715534,0.010493224944537544,0.9895067750554626,-0.004269760102033615,-0.0034878510488926887
55,w1,mlp_in,32,32,2.3063763658828726,0.02597469970351085,0.025592118501663208,0.02001870609819889,0.021205431316047907,0.028385932557284832,0.030791159160435202,0.01854151487350464,0.039463285356760025,0.9740253002964891,0.9744078814983368,0.9799812939018011,0.024815485611065898,0.975184514388934,0.13480054424823976,0.020203005813527852,0.01979433186352253,0.018811813183128835,0.022599635273218156,0.018365412950515747,0.02329433336853981,0.020033159603622112,0.9799668403963779,-0.005771693889982998,-0.004782326007443785
55,w1,mlp_in,48,32,2.3063763658828726,0.036180210823658854,0.035830071195960045,0.029457999393343925,0.03081710822880268,0.03898102603852749,0.042822423949837686,0.02746155858039856,0.05243397131562233,0.9638197891763411,0.96416992880404,0.9705420006066561,0.03479682830614858,0.9652031716938517,0.1336362028682981,0.02958693727850914,0.029202675446867943,0.027752660028636453,0.0323799766600132,0.02728026732802391,0.03374281898140907,0.029329702250637343,0.9706702977493625,-0.006593273545149714,-0.005467126055511237
55,w1,mlp_in,64,32,2.3063763658828726,0.04605557699687779,0.04578037187457085,0.038364189118146895,0.04016088414937258,0.04869971890002489,0.053594388812780384,0.03641312196850777,0.06362013518810272,0.9539444230031222,0.9542196281254292,0.9616358108818531,0.04452593851877179,0.955474061481228,0.13243202859323502,0.03877549327444285,0.03839896433055401,0.03651946224272251,0.041860603913664814,0.0360630638897419,0.04374322295188904,0.03844116178160245,0.9615588382183975,-0.007280083722434938,-0.0060847767371693395
55,w1,mlp_in,96,32,2.3063763658828726,0.06493006239179522,0.06472542881965637,0.05629494115710259,0.05903286952525377,0.06899122521281242,0.0731867015361786,0.05336323752999306,0.08529932051897049,0.9350699376082048,0.9352745711803436,0.9437050588428975,0.06306958767585316,0.9369304123241471,0.13010246367296233,0.05667998513672501,0.0561395063996315,0.053695020452141765,0.06068250015377998,0.05329744517803192,0.06285297870635986,0.056213295559143665,0.9437867044408563,-0.00825007725507021,-0.006856292116709496
55,w1,mlp_in,128,32,2.3063763658828726,0.08314113924279809,0.08271416276693344,0.07374250888824463,0.07618778198957443,0.0877293087542057,0.09400628432631493,0.06982316076755524,0.10546674579381943,0.9168588607572019,0.9172858372330666,0.9262574911117554,0.08102633420447534,0.9189736657955249,0.12776511597841275,0.07406029757112265,0.07351872324943542,0.07054342553019523,0.07883259728550912,0.07007930427789688,0.0810910165309906,0.07348263027639733,0.926517369723603,-0.009080841671675444,-0.007543703928078016
55,w2,mlp_out,16,17,1.9547588259182629,0.03783439176485819,0.014277820475399494,0.012201465107500552,0.013034633360803127,0.018516896292567253,0.0243003323674202,0.01126000564545393,0.3877005875110626,0.9621656082351419,0.9857221795246005,0.9877985348924995,0.020849619716131744,0.9791503802838682,0.13372207075320752,0.011493914103245033,0.010490856133401394,0.010023770295083521,0.012781842052936553,0.009874267503619194,0.021258488297462463,0.011012521914177694,0.9889874780858222,-0.02634047766161316,-0.00983709780195405
55,w2,mlp_out,32,17,1.9547588259182629,0.047933390802320314,0.023689651861786842,0.021358685567975044,0.022028574720025063,0.027983734384179115,0.03519399948418141,0.02051519602537155,0.40764230489730835,0.9520666091976797,0.9763103481382132,0.978641314432025,0.03043012718131721,0.9695698728186828,0.13251822083497306,0.020888772190493697,0.019587097689509392,0.019062867388129234,0.0226592518389225,0.018886443227529526,0.03431703522801399,0.020218990343448533,0.9797810096565517,-0.027044618611826617,-0.010211136837868676
55,w2,mlp_out,48,17,1.9547588259182629,0.05749868250945035,0.03283166140317917,0.030277075245976448,0.030880248174071312,0.03713347017765045,0.044988815486431126,0.029362395405769348,0.42247915267944336,0.9425013174905497,0.9671683385968208,0.9697229247540236,0.039725427917649936,0.9602745720823502,0.1312726102729371,0.030028041123467332,0.028440654277801514,0.02795216478407383,0.03214071542024612,0.027761831879615784,0.04605451598763466,0.029225134279184585,0.9707748657208154,-0.02747064138598302,-0.01050029363846535
55,w2,mlp_out,64,17,1.9547588259182629,0.06671612928895389,0.041734471917152405,0.038915012031793594,0.040043674409389496,0.04613078385591507,0.054468110948801045,0.03851718828082085,0.43474459648132324,0.9332838707110461,0.9582655280828476,0.9610849879682064,0.048775061319736086,0.9512249386802639,0.1300738208367259,0.03897705455036724,0.037092387676239014,0.036714614182710645,0.04133407920598984,0.03651530295610428,0.056958794593811035,0.03807407323743387,0.961925926762566,-0.027739074738586646,-0.010700988082302215
