line,name,tail_family,group_family,layer_index,score_E,rho,cum_c_len,coverage_c_r16,coverage_energy_r16,tail_c_r16,weighted_tail_r16,coverage_c_r32,coverage_energy_r32,tail_c_r32,weighted_tail_r32,coverage_c_r48,coverage_energy_r48,tail_c_r48,weighted_tail_r48,coverage_c_r64,coverage_energy_r64,tail_c_r64,weighted_tail_r64,coverage_c_r96,coverage_energy_r96,tail_c_r96,weighted_tail_r96,coverage_c_r128,coverage_energy_r128,tail_c_r128,weighted_tail_r128,deferred
55,language_model.model.layers.0.attention.wqkv,wqkv,attn_in,0,0.0022011306961484144,0.17087150544674237,4095,0.5904056429862976,0.2729471027851105,0.4095943570137024,0.000901570712192033,0.6928519606590271,0.34960120916366577,0.3071480393409729,0.0006760729776552162,0.7489319443702698,0.4025368392467499,0.2510680556297302,0.000552633604068897,0.7826308608055115,0.4451718032360077,0.21736913919448853,0.0004784578846763461,0.8264699578285217,0.5125837326049805,0.17353004217147827,0.0003819623025275697,0.8549713492393494,0.5657511949539185,0.14502865076065063,0.0003192270150102562,
55,language_model.model.layers.0.feed_forward.w1,w1,mlp_in,0,0.0985288731731875,0.1251033354304772,4095,0.01115132961422205,0.011179297231137753,0.988848670385778,0.0974301452319154,0.020515233278274536,0.020465508103370667,0.9794847667217255,0.09650753035539403,0.030625564977526665,0.02951788902282715,0.9693744350224733,0.09551137076565956,0.039606135338544846,0.03841819241642952,0.9603938646614552,0.09462652528753591,0.057193152606487274,0.05582667142152786,0.9428068473935127,0.09289369629364816,0.07419198006391525,0.07278282940387726,0.9258080199360847,0.09121882097900233,
55,language_model.model.layers.0.feed_forward.w2,w2,mlp_out,0,0.09859691358258091,0.13297246195124704,4096,0.019795943051576614,0.012680472806096077,0.9802040569484234,0.09664509469623891,0.03014650009572506,0.022534791380167007,0.9698534999042749,0.09562456171782543,0.040708184242248535,0.03194953501224518,0.9592918157577515,0.09458321225874415,0.050287824124097824,0.041059136390686035,0.9497121758759022,0.0936386893331612,0.0679916962981224,0.05867486074566841,0.9320083037018776,0.09189314217834185,0.08500976115465164,0.07572232186794281,0.9149902388453484,0.09021521350833987,
55,language_model.model.layers.0.feed_forward.w3,w3,mlp_in,0,0.12819475844293046,0.1251033354304772,4095,0.009561467915773392,0.009230928495526314,0.9904385320842266,0.12696902837310806,0.018647978082299232,0.018271619454026222,0.9813520219177008,0.12580418539722105,0.02730519138276577,0.027164462953805923,0.9726948086172342,0.12469437602937881,0.03657158091664314,0.03594221547245979,0.9634284190833569,0.1235064734614453,0.05349225923418999,0.05317156761884689,0.94650774076581,0.12133733119183686,0.07018617540597916,0.07001198083162308,0.9298138245940208,0.11919725864072782,
55,language_model.model.layers.1.attention.wqkv,wqkv,attn_in,1,0.006235140167099287,0.17087150544674237,4095,0.2219250649213791,0.056933436542749405,0.7780749350786209,0.004851406280721879,0.2969374358654022,0.09265299141407013,0.7030625641345978,0.004383693633619449,0.34549713134765625,0.12371370941400528,0.6545028686523438,0.004080917125815937,0.3838009238243103,0.1517053097486496,0.6161990761756897,0.003842087610792516,0.446159303188324,0.20172059535980225,0.553840696811676,0.003453274374864739,0.49679240584373474,0.24560321867465973,0.5032075941562653,0.003137569882713126,
55,language_model.model.layers.1.feed_forward.w1,w1,mlp_in,1,0.11751770209143741,0.1251033354304772,4095,0.015270836651325226,0.013576303608715534,0.9847291633486748,0.11572310845915998,0.02471991814672947,0.022605059668421745,0.9752800818532705,0.11461267411494534,0.033629175275564194,0.031458962708711624,0.9663708247244358,0.11356567868982292,0.042810678482055664,0.04017092287540436,0.9571893215179443,0.11248668953125089,0.05972998961806297,0.05723883584141731,0.940270010381937,0.11049837096557724,0.07717832922935486,0.07390514761209488,0.9228216707706451,0.10844788218914721,
55,language_model.model.layers.1.feed_forward.w2,w2,mlp_out,1,0.12599663665969454,0.13297246195124704,4096,0.018516896292567253,0.012342484667897224,0.9814831037074327,0.1236635700054547,0.027983734384179115,0.02158067747950554,0.9720162656158209,0.12247078024610973,0.03713347017765045,0.03058294765651226,0.9628665298223495,0.12131794430980752,0.04613078385591507,0.03941789269447327,0.9538692161440849,0.12018431304737391,0.06356216967105865,0.056692324578762054,0.9364378303289413,0.11798801706234831,0.08070221543312073,0.07352789491415024,0.9192977845668793,0.11582842894413524,
55,language_model.model.layers.1.feed_forward.w3,w3,mlp_in,1,0.15667247457874042,0.1251033354304772,4095,0.008688291534781456,0.009234679862856865,0.9913117084652185,0.1553112584441247,0.017929941415786743,0.018278470262885094,0.9820700585842133,0.15386334628807727,0.02764696441590786,0.027178682386875153,0.9723530355840921,0.15234095624910976,0.036854349076747894,0.035955097526311874,0.9631456509232521,0.1508984125098976,0.0531453862786293,0.05318644270300865,0.9468546137213707,0.14834605539802453,0.07010533660650253,0.0700223445892334,0.9298946633934975,0.14568889801142412,
55,language_model.model.layers.10.attention.wqkv,wqkv,attn_in,10,0.040126759030248864,0.17087150544674237,4095,0.050067219883203506,0.01753374934196472,0.9499327801167965,0.03811772376268107,0.07062588632106781,0.03324716538190842,0.9293741136789322,0.037292771108545626,0.08794718235731125,0.04830807074904442,0.9120528176426888,0.03659772363640768,0.10398261994123459,0.06286463886499405,0.8960173800587654,0.03595427349653299,0.13402247428894043,0.09073974192142487,0.8659775257110596,0.034748871499818826,0.16251829266548157,0.11731813848018646,0.8374817073345184,0.03360542666245362,
55,language_model.model.layers.10.feed_forward.w1,w1,mlp_in,10,0.07844761525435703,0.1251033354304772,4095,0.01379926037043333,0.010282075963914394,0.9862007396295667,0.07736509618602258,0.025239789858460426,0.01978592574596405,0.9747602101415396,0.0764676139304397,0.0354638434946537,0.02904786355793476,0.9645361565053463,0.07566556130444771,0.04536745697259903,0.038127195090055466,0.954632543027401,0.07488864644470199,0.06486454606056213,0.055874165147542953,0.9351354539394379,0.07335914630134953,0.08268336206674576,0.07313229888677597,0.9173166379332542,0.07196130267900826,
